id,Pattern/Color/Print,Detail,Material,Finish/Effect,Length,Collar,Neck,Design/Silhouette,Hood,Sleeves,Hem
20870243,honey beige,tonal stitching,cotton,gabardine weave,mid-length,notched lapels,None,oversized belted trench coat,None,long sleeves,straight hem
18656099,light beige,Vintage Check-pattern lining,cotton,None,short,classic lapels,None,The Short Kensington Heritage trench coat,None,long sleeves,None
20246407,black,EKD embroidered,None,full lining,mid-length,None,None,None,classic hood,long sleeves,straight hem
20235757,brown,notched lapels,alpaca wool-blend,None,mid-calf,notched lapels,None,double-breasted,None,long,straight
20970711,black,floral appliqué,virgin wool,None,None,spread collar,None,single-breasted,None,long sleeves,straight hem
15831706,Navy blue,belted,wool-cashmere blend,None,knee-length,notched lapels,None,Cenda,None,long sleeves,None
20703177,light beige,"belted waist, belted cuffs",wool,None,None,notched lapels,None,open front,None,long sleeves,straight hem
18643508,black/multicolour,check pattern,wool,reversible,mid-length,notched lapels,None,belted waist,None,long sleeves,None
20856504,black,two front flap pockets,calf leather,None,None,classic collar,None,single-breasted,None,long sleeves,straight hem
20143359,charcoal grey,frayed edge,wool blend,stretch-design,None,shawl lapels,None,trench coat,hooded,long sleeves,straight hem
21026514,midnight blue,thumb slots,feather down,padded design,None,None,high neck,None,classic hood,long sleeves,rear curved hem
21003459,mustard yellow,wide peak lapels,felted,None,below-knee length,wide peak lapels,None,long coat,None,long sleeves,central rear vent
20242257,all-over logo print,logo-print,satin,satin finish,None,None,None,blouson,drawstring hood,long sleeves,drawstring hem
20139974,check pattern,embroidered logo,felted,None,None,classic collar,None,None,None,long sleeves,straight hem
20185885,black,logo patch at the sleeve,feather down,diamond quilting,thigh-length,None,None,puffer coat,classic hood,long sleeves,straight hem
20151650,"charcoal grey, herringbone pattern","chain-link detailing, safety pin detail",wool,None,long length,wide notch lapels,None,double-breasted coat,None,long sleeves,straight hem
18583109,blue red patterned,intarsia knit,None,None,None,shawl lapels,None,belted waist,None,long sleeves,None
20702450,midnight blue,"notched lapels, drop shoulder",virgin wool,double-breasted,straight hem,notched lapels,None,None,None,long sleeves,straight hem
19353144,grey,"epaulettes, storm flap, belted waist",None,None,long,spread collar,None,trench coat,None,"long raglan sleeves, belted cuffs",buttoned central rear vent
20909925,beige,belted,cotton,None,None,high neck,high neck,trench coat,None,long sleeves,straight hem
17109422,Brown,quilted,feather down,padded design,long length,None,None,None,drawstring hood,long sleeves,None
19561788,black,logo patch at the sleeve,goose down,quilted,None,None,None,padded design,classic hood,long sleeves,None
18963172,beige,Vintage Check-pattern lining,cotton,None,Long,None,None,Chelsea Heritage trench,None,belted cuffs,central rear vent
18890669,black,quilted,feather down,None,calf-length,None,None,padded,classic hood,None,None
18626131,black,"enamel triangle logo, chest patch pocket, buttoned cuffs, drawstring hood, drawstring waist, two-way zip fastening, two side slit pockets",recycled nylon,POSITIVELY CONSCIOUS,None,None,None,None,drawstring hood,long sleeves,None
21292927,beige,drawstring,goose down,padded,None,None,None,hooded coat,drawstring hood,long sleeves,straight hem
19760363,grey,wide lapels,faux-fur,faux-fur design,knee-length,wide lapels,None,oversized,None,long sleeves,straight hem
21352628,black,logo patch at the sleeve,wool blend,contrasting-fabric sleeves,above-knee length,None,V-neck,wrap design,None,contrasting-fabric sleeves,asymmetric hem
17018889,Khaki brown,frayed edge,cotton,frayed,mid-length,wide notch lapels,None,double-breasted coat,None,long sleeves,None
21322907,light beige,"double-breasted button fastening, epaulettes, storm flap",virgin wool,None,long length,notched collar,None,belted trench coat,None,long sleeves,central rear vent
17785642,Brown,"belt loops, belted waist",faux fur,None,long length,notched collar,None,None,None,long sleeves,straight hem
18872949,navy blue,logo patch at the sleeve,down-feather filling,padded design,mid-length,None,None,None,classic hood,long sleeves,None
19929834,black/grey,herringbone pattern,virgin wool,"distressed effect, whiskering effect",None,notched lapels,None,Hourglass,None,"long sleeves, buttoned cuffs",straight hem
20576686,black,quilted,down-feather,quilted finish,knee-length,None,high neck,asymmetric front fastening,classic hood,long sleeves,None
17849421,navy blue,logo patch at the sleeve,None,padded design,None,None,funnel neck,None,detachable hood,long sleeves,None
16951409,Cream,belted waist,down-feather,padded,None,None,None,None,classic hood,long sleeves,None
17334054,Black,enamel triangle logo,faux-fur,faux-fur detailing,long length,classic collar,None,single-breasted,None,long sleeves,None
15537719,Camel-coloured,belted waist,virgin wool,None,None,notched lapels,None,wrap-around,None,long sleeves,straight hem
20234074,black,"shearling-trim, gold-tone hardware, belted waist",calf leather,None,mid-length,shearling collar,None,belted leather coat,None,long sleeves,straight hem
20154186,light blue,stonewashed,cotton,denim,None,None,None,double-breasted trench coat,None,long sleeves,straight hem
18779540,dark grey,disc detailing,wool blend,fine knit,None,spread collar,None,double-breasted coat,None,long sleeves,None
20220017,cream white,embroidered logo,down-feather,padded,mid-calf,None,high neck,oversized,drawstring hood,long sleeves,straight hem
20084878,plum purple,asymmetric design,wool,double-breasted,below-knee,peak lapels,None,double-breasted,None,long sleeves,None
18584573,anthracite grey,double-breasted button fastening,cashmere,None,mid-length,peak lapels,None,None,None,long sleeves,central rear vent
15166186,Black,storm flap,cotton,None,Short,notched lapels,None,Islington trench coat,None,long sleeves,rear central vent
16732603,Honey brown,"epaulettes, storm flap, checked lining",cotton/calf leather,None,long,notched collar,None,Kensington Heritage,None,long sleeves,None
20196000,pine green,tied waist,sheepskin,reversible,mid-length,None,None,None,classic hood,long sleeves,None
16720756,Taupe-beige,single-breasted,cashmere,None,None,stand-up collar,None,Amie,None,long sleeves,straight hem
20932331,steel blue,belted waist,virgin wool,None,mid-length,wide notch lapels,None,None,None,long sleeves,straight hem
19130348,camel brown,double-breasted button fastening,wool,Conscious,None,notched collar,None,None,None,None,None
19707459,anthracite grey,peak lapels,recycled wool blend,None,None,None,V-neck,double-breasted,None,long sleeves,straight hem
19446610,light yellow,logo patch at the sleeve,None,"ripstop texture, semi-sheer construction",mid-length,None,high neck,detachable belt bag,None,long sleeves,straight hem
19121454,black,logo patch at the sleeve,None,padded design,ankle-length,None,None,None,classic hood,long sleeves,None
21347955,camel brown,contrasting trim,recycled polyamide,padded design,below-knee length,funnel neck,funnel neck,double-breasted button fastening,None,long sleeves,straight hem
21091830,navy blue,notched lapels,wool blend,cotton,knee-length,None,None,double-breasted,None,long sleeves,straight hem
20849384,blush pink,classic lapels,wool-cashmere blend,silk lining,mid-length,classic lapels,None,flared,None,long sleeves,None
19915665,black,"peak lapels, shoulder pads, buttoned cuffs, chest welt pocket, two side welt pockets, central rear vent",virgin wool blend,satin lining,None,peak lapels,None,cocoon design,None,long sleeves,None
20237650,camel brown,faux-fur design,virgin wool blend,None,mid-length,None,None,cape,drawstring hood,long sleeves,straight hem
19034203,brown,"['rear slit', 'belted waist', 'epaulettes', 'buttoned cuffs']",faux leather,None,mid-length,oversized pointed collar,None,double-breasted trench coat,None,long sleeves,straight hem
20229309,rose pink,two front welt pockets,virgin wool,single-breasted,mid-length,classic collar,None,double-breasted button fastening,None,long sleeves,None
20225366,black,belted waist,satin,satin finish,knee-length,notched lapels,None,trench coat,None,long sleeves,None
20953102,black,twill weave,wool,silk lining,None,classic hood,None,peacoat,classic hood,long sleeves,straight hem
19594448,camel brown,belted waist,cotton,None,None,classic lapels,None,double-breasted trench coat,None,long sleeves,None
17265749,Camel,panelled design,wool-cashmere blend,None,long length,wide lapels,None,single-breasted,None,long sleeves,straight hem
17849418,black,logo patch at the sleeve,down,quilted finish,long length,None,None,None,classic hood,long sleeves,straight hem
18710724,black,double layer,None,None,None,notched lapels,high neck,single-breasted,None,long sleeves,None
20809893,black,"logo patch at the chest, logo patch at the sleeve, decorative button detailing",wool blend,None,None,wide peak lapels,None,single-breasted,None,"long sleeves, buttoned-cuff sleeves",straight hem
20578526,black,shoulder tab detail,stretch-cotton,silver-tone hardware,None,classic collar,None,double-breasted trench cape,None,None,asymmetric hem
19917354,black,leather trench,lambskin,None,calf-length,classic collar,throat latch,trench coat,None,long raglan sleeves,None
17270892,black,two side inset pockets,feather down,quilted finish,long length,None,None,None,classic hood,long sleeves,None
18779928,light beige,Vintage Check-pattern lining,cotton,None,None,None,None,The Long Waterloo Heritage Trench Coat,None,long sleeves,central rear vent
19101804,cool grey,logo patch at the sleeve,None,padded design,ankle-length,None,None,parka,classic hood,long sleeves,None
20472997,navy blue,front button fastening,cashmere,None,calf-length,inverted lapels,None,single-breasted,None,long sleeves,None
18583108,dark grey abstract pattern print,fringe detailing,virgin wool,None,long length,None,None,belted waist,None,long sleeves,None
18582647,navy blue,"['enamel triangle logo', 'chain-link detailing']",wool,None,None,None,square neck,double-breasted coat,None,long sleeves,rear slit
17920362,salmon pink,logo patch at the sleeve,None,glossy finish,None,stand-up collar,None,puffer,detachable hood,long sleeves,straight hem
20243858,cardinal red,belted waist,wool blend,stretch-design,mid-length,classic collar,None,None,None,long sleeves,straight hem
20547889,"anthracite grey, black","reversible, belted","sheepskin, shearling",None,mid-calf,notched lapels,None,belted waist,None,long,straight
20178807,sand beige,"logo patch at the sleeve, contrasting trim, frayed edge, buttoned cuffs",None,None,knee-length,classic collar,None,trench coat,None,long sleeves,straight hem
18599148,black,contrasting trim,mohair-wool blend,herringbone pattern,None,notched lapels,None,belted coat,None,long sleeves,straight hem
19782954,black,oversize bow detail,semi-sheer construction,semi-sheer,mid-length,oversized pointed collar,None,oversized,None,three-quarter length sleeves,None
18870138,navy blue,logo patch at the sleeve,"cotton, duck feathers",padded,mid-length,None,None,None,classic hood,long sleeves,None
19992863,light beige,diamond quilting,None,padded design,None,shearling collar,spread collar,shirt jacket,None,long sleeves,None
18948689,black,double-breasted,cotton,high-shine,None,notched,None,coat,None,long,None
20228558,cedar brown,concealed front fastening,shearling,None,mid-length,None,None,None,None,long sleeves,straight hem
20471209,off-white,belted waist,virgin wool,None,mid-length,classic lapels,None,double-breasted,None,long sleeves,None
16096092,Camel brown,"notched lapels, drop shoulder, concealed front button fastening",wool,None,oversized style,notched lapels,None,oversized,None,long sleeves,None
20149775,orange,double-collar,wool,None,None,notched collar,None,double-breasted,None,long sleeves,straight hem
19780890,desert sage green,"belted waist, concealed front fastening",organic cotton blend,draped design,mid-calf length,None,None,draped belted trench coat,None,None,asymmetric hem
20513737,black,"knitted panels, padded panels, quilted panels, logo patch at the sleeve","wool, down-feather filling",None,above-knee,None,high neck,double-breasted press-stud fastening,None,long raglan sleeves,None
20848946,plaid check dark grey,chevron knit,wool,None,floor-length,Ulster lapels,None,maxi coat,None,long sleeves,straight hem
20905691,"sand beige, Vintage Check pattern",detachable adjustable waist strap,cotton blend,None,mid-length,spread collar,peak lapels,trench coat,None,long sleeves,straight hem
20930112,black,tie-waist,virgin wool,None,mid-calf length,wide notch lapels,None,wrap design,None,None,central rear vent
16786676,Black,enamel triangle logo,recycled nylon,"padded design, diamond quilting",None,notched lapels,None,Light Re-Nylon raincoat,None,long sleeves,central rear vent
20307499,Poudre pink,floral appliqué,wool blend,rose-embellished,below-knee,peak lapels,None,None,None,long sleeves,straight hem
19626727,lilac purple,logo patch at the sleeve,None,padded design,None,None,None,None,drawstring hood,long sleeves,straight hem
20244475,black,decorative double-button detail,lambskin,None,None,wide notch lapels,None,belted-waist leather trench coat,None,long sleeves,straight hem
20044984,black,buttoned cuffs,sheepskin,None,knee-length,None,funnel neck,None,None,long sleeves,straight hem
20725390,taupe,ribbed trim,goose down,quilted,knee-length,None,funnel neck,padded design,drawstring hood,None,curved hem
20126472,"lavender purple, camel brown",open front,mohair blend,gradient effect,mid-length,None,None,None,None,long sleeves,None
21290557,black/white,houndstooth pattern,virgin wool blend,None,mid-length,notched lapels,None,belted coat,None,long sleeves,straight hem
16732740,Black,storm flap,cotton/calf leather,None,None,notched lapels,None,Waterloo Heritage trench coat,None,long sleeves,None
19548779,house check pattern,storm flap,cotton,checked lining,mid-length,classic collar,front hook and eye fastening,trench coat,None,long sleeves,None
19949657,beige,VLogo Signature,virgin wool-silk blend,None,above-knee,None,open front,Toile Iconographe,classic hood,long sleeves,straight hem
19908431,black,belted waist,faux leather,None,mid-length,classic collar,None,trench coat,None,long sleeves,straight hem
19977193,bold check pattern,fringed edge,None,None,None,None,open front,draped design,slouchy hood,sleeveless,asymmetric hem
18859881,black,"storm flap, rear slit, belted waist",cashmere,None,None,notched collar,None,Kensington trench coat,None,None,None
20851469,lime yellow,belted waist,"wool, calf leather",None,mid-length,None,round neck,belted-waist wool coat,None,buttoned-cuff sleeves,None
20066488,light pink,"monogram jacquard, Medusa Head motif, storm flap","lambskin, canvas",logo-jacquard,None,classic collar,None,trench coat,None,long sleeves,None
20043951,black/multicolour,patchwork design,lambskin,open front,long,None,None,None,None,long sleeves,curved hem
17848486,black,padded design,None,lightweight construction,None,None,None,None,classic hood,long sleeves,straight hem
20945524,"light brown, camel brown","decorative button detailing, wide peak lapels, belted waist, rear button fastening",wool blend,two-tone design,ankle-length,wide peak lapels,None,double-breasted maxi coat,None,"long sleeves, buttoned-cuff sleeves",straight hem
19347400,midnight blue,four front flap pockets,cotton blend,high-shine finish,None,None,high neck,None,drawstring hood,long sleeves,straight hem
21249407,brown,belted,None,panelled design,None,classic collar,None,trench coat,None,long sleeves,straight hem
20233129,cream white,wide notch lapels,wool blend,None,None,notch-lapels,None,double-breasted coat,None,long sleeves,straight hem
18812118,black,logo patch at the sleeve,feather down,padded design,high-low hem,funnel neck,None,puffer coat,drawstring hood,long sleeves,high-low hem
18715580,black,"buttoned cuffs, central rear vent",faux leather,None,None,peak lapels,None,concealed front fastening,None,long sleeves,straight hem
20887772,black,"notched lapels, double-breasted button fastening, drop shoulder, buttoned cuffs, central rear vent",virgin wool blend,None,mid-length,notched lapels,None,double-breasted,None,"long sleeves, buttoned cuffs",straight hem
20954238,black,"storm flap, silver-tone hardware, belted cuffs",cotton blend,gabardine weave,None,wide notch lapels,None,double-breasted belted trench coat,None,long sleeves,None
15489941,Black,logo patch,None,None,None,None,None,puffer jacket,hooded,fitted-cuff sleeves,None
17111751,Almond,"belted waist, double-breasted effect, buttoned cuffs",virgin wool,None,long length,notched collar,None,trench coat,None,long sleeves,straight hem
20494156,silver-tone,metallic effect,"lambskin, duck down","quilted, padded",straight hem,press-stud fastening collar,None,hooded zip-up,slouchy hood,"long sleeves, elasticated cuffs",straight hem
20647265,black,logo patch at the sleeve,goose down,padded design,knee-length,None,high neck,midi coat,concealed hood,long sleeves,straight hem
19976448,green/white check pattern,front button fastening,wool blend,None,None,None,None,None,classic hood,long sleeves,None
19422616,colour-block navy blue/indigo blue,panelled design,cashmere-wool blend,None,None,spread collar,None,single-breasted coat,None,long sleeves,None
20484707,black,plissé effect,None,None,below-knee length,None,V-neck,single-breasted,None,long sleeves,straight hem
19123248,"black, coffee brown","contrasting panel detail, quilted panels",None,None,long length,classic collar,None,fishtail design,None,long sleeves,None
20729109,beluga grey,"drop shoulder, buttoned-cuff sleeves, two side flap pockets",virgin wool,None,None,notched collar,None,double-breasted,None,"long sleeves, buttoned-cuff sleeves",straight hem
19975094,dark green,quilted,recycled polyester,None,None,collarless,round neck,drawstring,None,long sleeves,curved hem
18671126,off-white,logo print,cotton,water-repellent finish,knee-length,None,None,drawstring coat,drawstring hood,long sleeves,None
19693102,navy blue,layered design,virgin wool blend,None,None,None,funnel neck,single-breasted,None,long sleeves,None
20917566,tan brown,embroidered logo to the side,cotton,None,None,needlecord collar,None,Townfield parka,None,long sleeves,straight hem
19907681,midnight blue,shearling lining,lambskin,suede,None,None,high neck,wrap design,None,long sleeves,straight hem
21284963,"cedar brown, FF-logo print, monogram pattern","FF logo plaque, belted waist, belt loops, buttoned cuffs",None,None,None,classic collar,None,trench coat,None,long sleeves,straight hem
20153429,black/grey,"herringbone pattern, draped detailing, belted waist, belted cuffs",wool blend,None,None,None,None,draped,None,long sleeves,straight hem
19976424,dark green,drawstring waist,cotton blend,None,thigh-length,None,None,long-line parka,drawstring hood,long sleeves,straight hem
21342906,black,crystal embellishment,wool,None,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
20369242,off-white,front press-stud and zip fastening,virgin wool,press-stud fastening cuffs,high-low hem,None,None,parka,classic hood,long sleeves,high-low hem
18888123,cloud white,logo patch to the front,"['cotton', 'duck feathers']",padded design,None,None,None,None,classic hood,long sleeves,None
19949658,Toile Iconographe print,tied waist,wool-silk blend,None,None,None,None,None,classic hood,long sleeves,straight hem
19906740,cedar brown,"['notched lapels', 'chest welt pocket', 'jetted pocket', 'two front flap pockets']",wool blend,None,ankle-length,notched lapels,None,double-breasted,None,long sleeves,straight hem
20968023,almond beige,"frayed detailing, sequin detailing",cotton blend,full jacquard,mid-length,classic lapels,None,None,None,long sleeves,None
20472295,"multicolour, paisley print",open front,satin-finish,satin finish,None,None,None,cape,None,half-length sleeves,asymmetric hem
20916205,"off-white, light beige","toggle-detail, padded design",None,None,None,None,None,parka,detachable hood,long sleeves,straight hem
15980596,Slate gray,belted,cashmere,None,long,notched lapels,None,single-breasted,None,long sleeves,None
20152729,beige,"double-breasted, belted waist, belted cuffs, central rear vent",stretch-cotton,None,None,wide peak lapels,None,trench coat,None,long sleeves,None
17621733,Melange grey,"embroidered design, scarf detailing",wool blend,embroidered,None,None,None,scarf jacket,None,long wide sleeves,None
19731269,off-white,fleece texture,faux-fur,faux-fur design,long length,wide notch lapels,None,long coat,None,long sleeves,None
18725952,navy blue,storm flap,cotton,None,None,notched lapels,button-down collar,double-breasted,None,long sleeves,None
21356723,cream white,peak lapels,virgin wool,None,below-knee length,peak lapels,None,double-breasted,None,long sleeves,straight hem
18819588,black,belted waist,virgin wool,concealed front fastening,long length,classic collar,None,single-breasted,None,long sleeves,central rear vent
19391156,leopard print,open front,faux-fur,None,None,None,None,faux-fur design,None,long sleeves,straight hem
20860590,sky blue,double-breasted,virgin wool blend,None,short,notched lapels,None,None,None,long sleeves,straight hem
19418352,black,"belted waist, epaulettes",calf leather,None,None,notched collar,None,trench coat,None,long sleeves,None
19253132,beige,"double-breasted, front toggle fastening, boxy",None,None,None,classic collar,None,boxy coat,None,long sleeves,straight hem
21320951,black,padded panels,virgin wool blend,"brushed finish, water-repellent finish",knee-length,bib collar,high neck,single-breasted,None,long sleeves,straight hem
20239063,beige,textured,"['cashmere', 'goat hair']",None,None,None,round neck,sleeveless coat,None,sleeveless,None
18330241,black,single-breasted,wool,felted finish,None,wide notch lapels,None,None,None,long sleeves,None
18896896,black,padded design,wool blend,gold-tone hardware,mid-length,high neck,high neck,double layer,None,long sleeves,None
20488513,black,gold-tone hardware,goose down,quilted,below-knee length,None,high neck,padded design,drawstring hood,long sleeves,straight hem
19383265,light blue,logo patch at the sleeve,feather down,drawstring waist,knee-length,None,None,long parka,concealed hood,long sleeves,straight hem
20914950,beluga grey,detachable waist belt,alpaca wool-blend,faux-fur,knee-length,None,open front,drop shoulder,None,long sleeves,None
20976518,midnight blue,single-breasted,wool-cotton blend,brushed finish,None,notched lapels,None,None,None,None,straight hem
20557203,charcoal grey,"notched lapels, jetted chest pocket, two front flap pockets, split cuffs",recycled polyester blend,None,long length,notched-lapel,None,double-breasted coat,None,long sleeves,straight hem
18961911,midnight blue,Vintage Check-pattern lining,cotton,concealed front button fastening,None,classic collar,None,Heritage car coat,None,belted cuffs,central rear vent
18884939,black,Swarovski crystal embellishment,virgin wool blend,None,None,classic collar,None,None,None,long sleeves,None
20919810,green,belted waist,None,None,None,peak lapels,None,single-breasted,None,long sleeves,None
20956324,olive green,multi-pocket,wool blend,None,calf-length,classic collar,None,belted trench coat,None,long sleeves,straight hem
20110990,black,embossed gold-tone buttons,virgin wool,satin,long length,None,peak lapels,double-breasted coat,None,long sleeves,straight hem
19940106,navy blue,throat latch,wool,satin lining,None,None,None,duffle coat,classic hood,long sleeves,None
17936951,Neutral,"Interlocking G chain-embellished, leather trim, gold-tone hardware, chain-link detailing, embossed gold-tone buttons",wool-blend,None,None,None,None,American rear vent,None,long sleeves,full lining
20379856,beige,logo patch at the sleeve,None,quilted finish,mid-length,throat latch,None,padded design,drawstring hood,long sleeves,None
15904635,Black,logo patch at the sleeve,None,padded design,full-length,None,None,long logo padded coat,classic hood,long sleeves,None
19392177,leopard print,number patch to the sleeve,"silk blend, cotton",None,None,shawl lapels,None,belted waist,None,long sleeves,None
20509226,black,"crystal embellishment, sequin detailing, shoulder pads",None,None,cropped,None,None,cape design,None,extra-long sleeves,None
15475377,Black/white,logo jacquard-woven,wool-cashmere blend,ribbed edge,None,None,None,cape,classic hood,half-length sleeves,None
19177389,beige,pleated skirt,cotton,None,None,wide notch lapels,None,A-line,None,long sleeves,None
12926148,midnight blue,signature checked lining,cotton,None,None,notched collar,None,trench coat,None,long sleeves,None
20872261,cedar brown,shoulder pads,faux leather,None,None,wide notch lapels,None,None,None,long sleeves,straight hem
20152721,powder pink,belted waist,alpaca wool-blend,bouclé design,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
19940153,black,belted waist,None,None,None,notched lapels,None,double-breasted,None,long sleeves,None
20925648,dark grey,belted waist,wool-cashmere blend,None,None,None,high neck,None,None,long sleeves,straight hem
16122656,"Camel beige, Vintage Check pattern",fringe detailing,wool-cashmere blend,None,None,None,open front,cape,None,None,None
18248423,pink,double-breasted button fastening,wool,None,mid-length,None,None,double-breasted coat,None,long sleeves,rear slit
15464657,Black,notched lapels,wool-cashmere blend,knitted construction,None,None,None,Cenda double-face belted coat,None,long sleeves,None
17995445,Grey/black chevron-pattern,"jetted chest pocket, two front flap pockets, central rear vent",None,None,long,notched lapels,None,single-breasted,None,long sleeves,None
19507436,black,logo patch,goose down,padded,None,None,None,quilted,classic hood,None,None
21413352,"forest green, cyan blue, plaid check pattern","reversible, belted waist",cotton,None,mid-length,notched collar,open front,trench coat,None,long sleeves,None
19246448,camel brown,"pleat detailing, storm flap","wool blend, cotton",None,None,notched lapels,None,double-breasted trench coat,None,long sleeves,None
19906715,beige,front toggle fastening,cotton,faux-fur design,None,funnel neck,None,None,classic hood,long sleeves,None
18836157,black,logo patch at the chest,feather down,padded,None,None,None,parka,drawstring hood,long sleeves,None
20507543,silver-tone,"['crystal embellishment', 'bead detailing', 'sequin detailing']",semi-sheer,crystal embellishment,floor-length,front hook and eye fastening,None,cape,None,None,None
20851086,white,logo patch at the sleeve,"['duck down', 'duck feather']","['quilted', 'padded']",None,None,None,parka,classic hood,long sleeves,straight hem
14552177,Black,"belted waist, side slit pockets, ribbed cuffs, padded",feather down,None,long length,None,None,maxi down coat,hood,long sleeves,None
15517074,Khaki,"storm flap, tonal stitching, belted cuffs, buttoned epaulettes",cotton gabardine,water-repellent,below-knee,notched lapels,None,belted double-breasted trench coat,None,long raglan sleeves,central rear vent
20869221,black,interwoven design,wool,full lining,None,notched lapels,None,peacoat,None,long sleeves,buttoned central rear vent
20241147,black,"belted cuffs, belted waist, gold-tone hardware",wool blend,None,None,notched lapels,None,trench jacket,None,long sleeves,straight hem
20889318,"medium grey, dark grey","reversible, detachable waist belt","sheepskin, shearling",None,knee-length,None,round neck,None,None,long sleeves,straight hem
20471191,sand beige,braided edge,wool,faux-shearling design,mid-length,classic lapels,None,double-breasted coat,None,long sleeves,rear slit
20514813,black,logo patch at the sleeve,goose down,padded design,mid-length,stand-up collar,None,fitted waistline,classic hood,long sleeves,straight hem
20377628,olive green,logo-patch,down-feather filling,padded design,below-knee length,None,funnel neck,None,classic hood,"long sleeves, fitted-cuff sleeves",None
18984797,black,button fastening,cashmere,None,mid-length,classic lapels,None,single-breasted fitted,None,long sleeves,None
19651116,navy blue,logo patch at the chest,None,None,None,None,None,parka,classic hood,long sleeves,straight hem
17863509,Yellow/brown herringbone,paint splatter,wool-blend,logo patch,long,wide peak lapels,None,Berhen long coat,None,long sleeves,None
19351095,black,"logo-print, enamel triangle logo",Re-Nylon,None,calf-length,None,high neck,belted waist,None,"long sleeves, elasticated cuffs",None
20578532,check print,contrasting collar,None,None,calf-length,contrasting collar,None,A-line,None,long sleeves,None
19748729,black,silver-tone hardware,None,padded design,None,None,None,belted-waist coat,drawstring hood,long sleeves,straight hem
19302390,black,logo print at the sleeve,feather down,padded,None,high neck,None,hooded coat,hooded,long sleeves,straight hem
19216272,optical white,storm flap,"recycled polyester, recycled down",padded design,None,None,high neck,None,None,long sleeves,None
19106003,black,padded design,feather down,high-shine finish,None,None,high neck,puffer coat,None,long sleeves,straight hem
19919220,"teal blue, floral embroidery","belted waist, open front",None,None,floor-length,None,None,None,None,long wide sleeves,None
19738056,white/black,contrasting trim,feather down,quilted,None,classic collar,None,flared,None,None,flared hem
19707481,chocolate brown,classic lapels,merino wool blend,None,mid-calf,V-neck,None,None,None,long,straight
20067056,camel brown,"leather trim, jacquard logo motif, signature La Greca print",canvas,None,knee-length,notched collar,None,trench coat,None,long sleeves,straight hem
18173369,Brown,double-breasted button fastening,wool-cashmere blend,None,None,notched lapels,None,peacoat,None,long sleeves,straight hem
19390331,leopard print,open front,faux-fur,None,floor-length,None,None,None,None,long sleeves,None
20870212,camel brown,checkered lining,cotton,gabardine weave,mid-length,spread collar,None,hooded raincoat,detachable hood,long sleeves,None
20614868,sand beige,notched lapels,wool-cashmere blend,open front,None,notched lapels,None,wrap coat,None,long sleeves,None
20485126,cloud white,beaded trim,goose down,padded,above-knee,funnel neck,None,gilet,classic hood,sleeveless,straight hem
20869300,"camel brown, check print","embroidered logo at the chest, signature Equestrian Knight motif",wool-cashmere blend,"fleece texture, padded design",None,None,high neck,belted waist,None,"long wide sleeves, elasticated cuffs",None
17615444,Black/grey,two-tone design,wool blend,None,None,None,None,A-line skirt,None,long sleeves,None
18518666,coffee brown,padded design,None,None,mid-length,None,high neck,puffer coat,None,long sleeves,None
18656094,jet black,belted waist,cotton/calf leather,None,Long,classic collar,None,trench coat,None,long sleeves,None
18457672,black,front button fastening,wool-cashmere blend,None,mid-calf length,classic lapels,None,None,None,None,None
20149623,black,"belted waist, rear cape insert, buttoned cuffs",wool,None,mid-calf,notched lapels,None,double-breasted coat,None,long sleeves,straight hem
16444083,White,double breasted,cashmere-wool blend,None,full-length,notched lapels,None,Borneo,None,long sleeves,central rear vent
21418053,black,buttoned cuffs,shearling,None,None,wide notch lapels,None,double-breasted,None,long sleeves,straight hem
20934246,black,peak lapels,cashmere,None,mid-length,None,peak lapels,double-breasted,None,long sleeves,straight hem
19371451,"sand beige, blue","logo print at the hood, epaulettes, storm flap, belted waist, central rear vent",cotton,None,floor-length,None,None,layered design,classic hood,"long sleeves, buttoned cuffs",None
18935524,black,belted waist,virgin wool,concealed front fastening,mid-length,wide notch lapels,None,None,None,long sleeves,straight hem
16580742,Brown/beige,laser-cut detail,cotton blend,faux-fur,None,shawl lapels,None,None,None,long sleeves,None
20871597,ivory white,tie-waist,faux-shearling,fully lined,mid-calf length,wide notch lapels,None,tie-waist coat,None,long sleeves,None
15819729,black,belted waist,None,None,None,None,None,trench coat,detachable hood,belted cuffs,central rear vent
18585627,steel blue,quilted,goose down,padded,None,None,None,None,classic hood,long sleeves,straight hem
18654799,black,tassel detail,wool blend,embroidered,None,attached scarf,None,drop shoulder,None,long sleeves,None
17271134,black,logo patch at the sleeve,feather down,padded design,mid-length,None,None,None,classic hood,long sleeves,curved hem
19202627,cobalt blue,"['quilted panels', 'embroidered logo', 'sleeve zip pocket', 'elasticated waistband', 'self-tie fastening']",down-feather filling,None,oversized,high neck,high neck,oversized parka,None,"['drop shoulder', 'long sleeves']",None
20001041,blue,"mid wash, faded effect, storm flap","cotton blend, denim",None,None,"faux-fur collar, detachable collar",None,trench coat,None,"drop shoulder, long sleeves, belted cuffs","straight hem, central rear vent"
21325153,off-white,faux-fur design,mohair blend,faux-fur,below-knee length,notched lapels,None,None,None,long sleeves,straight hem
21344164,black,silver-tone logo plaque,feather down,padded design,None,None,funnel neck,belted,detachable hood,long sleeves,None
